FOOD_ID,DATE,MEAL,FOODS,Food_Item,Quantity,Calories,Protein (g),Carbs (g),Fat (g),Cholest (mg),Sodium (mg),Sugar (g),Fiber (g)
339,3/31/2025,Meal 3,"Rotisserie Chicken, 2.5 serving (3 oz)",Rotisserie Chicken, 2.5 serving (3 oz),451 ,55 ,0 ,26 ,260 ,827 ,0 ,0 
340,3/31/2025,Snacks,"Oreo - Double Stuff, 3 cookie(29g)",Oreo - Double Stuff, 3 cookie(29g),210 ,2 ,32 ,11 ,0 ,143 ,20 ,2 
341,3/31/2025,Snacks,"Alpina - Arequipa, 42 gramo",Alpina - Arequipa, 42 gramo,133 ,3 ,22 ,3 ,--,--,--,--
342,3/31/2025,Total,TOTALS,,,"2,196 ",159 ,153 ,111 ,950 ,"2,200 ",38 ,10 
343,4/1/2025,Meal 1,"White Jasmine Rice (Cooked - White Rice (Cooked), 1.5 cup (158g)",White Rice (Cooked), 1.5 cup (158g),308 ,6 ,68 ,0 ,0 ,3 ,0 ,2 
344,4/1/2025,Meal 1,"Chicken breast, grilled, skinless, 3 oz",Chicken breast, 3 oz,150 ,25 ,0 ,5 ,82 ,300 ,0 ,0 
345,4/1/2025,Meal 1,"Market Basket - Eggs, 3 egg",Eggs, 3 egg,210 ,18 ,3 ,14 ,645 ,195 ,0 ,0 
346,4/1/2025,Meal 1,"Oreo - Double Stuff, 4 cookie(29g)",Oreo - Double Stuff, 4 cookie(29g),280 ,2 ,42 ,14 ,0 ,190 ,26 ,2 
347,4/1/2025,Meal 2,"Chipotle - Cilantro-Lime Brown Rice, 1 cup",Cilantro-Lime Brown Rice, 1 cup,420 ,8 ,62 ,12 ,0 ,380 ,0 ,4 
348,4/1/2025,Meal 2,"Chipotle - Double Chicken, 8 ounce",Chipotle - Double Chicken, 8 ounce,380 ,64 ,2 ,13 ,230 ,740 ,2 ,0 
349,4/1/2025,Meal 2,"Generic - Iced Matcha Latte, 1 16oz",Iced Matcha Latte, 1 16oz,240 ,11 ,40 ,5 ,5 ,210 ,34 ,--
350,4/1/2025,Meal 3,"Lettuce, 2 cup, shredded",Lettuce, 2 cup,10 ,1 ,2 ,0 ,0 ,13 ,1 ,1 
351,4/1/2025,Meal 3,"Chicken breast, grilled, skinless, 6 oz",Chicken breast, 6 oz,299 ,50 ,0 ,9 ,163 ,600 ,0 ,0 
352,4/1/2025,Meal 3,"Carrots, 1 cup",Carrots, 1 cup,49 ,1 ,11 ,0 ,0 ,83 ,6 ,3 
353,4/1/2025,Snacks,"Coca Cola - Coca-Cola, 1 can",Coca Cola, 1 can,160 ,0 ,42 ,0 ,--,40 ,42 ,--
354,4/1/2025,Total,TOTALS,,,"2,506 ",186 ,272 ,72 ,"1,125 ","2,754 ",111 ,12 
355,4/2/2025,Meal 1,"Chipotle - Double Chicken, 9 ounce",Chipotle - Double Chicken, 9 ounce,428 ,72 ,2 ,15 ,259 ,833 ,2 ,0 
356,4/2/2025,Meal 1,"Chipotle - Beans, 5 ounce",Chipotle - Beans, 5 ounce,150 ,9 ,29 ,1 ,0 ,313 ,1 ,14 
357,4/2/2025,Meal 1,"Chipotle Guacamole - Guacamole* RG, 4 oz",Chipotle Guacamole, 4 oz,230 ,2 ,8 ,22 ,0 ,370 ,1 ,6 
358,4/2/2025,Meal 2,"Generic - Chicken/Rosemary/Parmesan Tortellini, 3 cup cooked",Chicken/Rosemary/Parmesan Tortellini, 3 cup cooked,690 ,45 ,75 ,24 ,165 ,"1,350 ",3 ,3 
359,4/2/2025,Meal 2,"Market Basket - Solid White Albacore, Tuna in Water, 1 can drained","Solid White Albacore, Tuna in Water", 1 can drained,130 ,30 ,0 ,1 ,45 ,350 ,--,--
360,4/2/2025,Meal 3,"Post - Honey Bunches of Oats, Crispy with Almonds, 1.5 cup","Honey Bunches of Oats, Crispy with Almonds", 1.5 cup,255 ,5 ,51 ,5 ,0 ,270 ,14 ,3 
361,4/2/2025,Meal 3,"Almond Breeze - Almond Breeze, Almond Milk, Vanilla, 1 cup","Almond Milk, Vanilla", 1 cup,80 ,1 ,14 ,3 ,0 ,150 ,13 ,1 
362,4/2/2025,Meal 3,"Orange, 1 medium",Orange, 1 medium,62 ,1 ,15 ,0 ,0 ,0 ,12 ,3 
363,4/2/2025,Snacks,"Oreos, 5 cookie",Oreos, 5 cookie,255 ,3 ,39 ,11 ,0 ,213 ,22 ,2 
364,4/2/2025,Total,TOTALS,,,"2,280 ",168 ,233 ,82 ,469 ,"3,849 ",68 ,32 
365,4/3/2025,Meal 1,"Jif - Peanut Butter, Creamy, 42 g",Peanut Butter, 42 g,242 ,9 ,10 ,20 ,0 ,178 ,4 ,3 
366,4/3/2025,Meal 1,"Banana, 2 large",Banana, 2 large,242 ,3 ,62 ,1 ,0 ,3 ,33 ,7 
367,4/3/2025,Meal 1,"Market Basket - Fat Free Cottage Cheese, 200 gram(s)",Fat Free Cottage Cheese, 200 gram(s),142 ,25 ,11 ,0 ,18 ,726 ,9 ,0 
368,4/3/2025,Meal 1,"Market Basket - Eggs, 4 egg",Eggs, 4 egg,280 ,24 ,4 ,18 ,860 ,260 ,0 ,0 
369,4/3/2025,Meal 2,"White Jasmine Rice (Cooked - White Rice (Cooked), 1 cup (158g)",White Rice (Cooked), 1 cup (158g),205 ,4 ,45 ,0 ,0 ,2 ,0 ,1 
370,4/3/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
371,4/3/2025,Meal 2,"Goya - Red Kidney, 0.5 cup",Red Kidney Beans, 0.5 cup,280 ,18 ,52 ,0 ,0 ,10 ,2 ,12 
372,4/3/2025,Meal 3,"Market Basket - Solid White Albacore, Tuna in Water, 1 can drained","Solid White Albacore, Tuna in Water", 1 can drained,130 ,30 ,0 ,1 ,45 ,350 ,--,--
373,4/3/2025,Meal 3,"White Jasmine Rice (Cooked - White Rice (Cooked), 0.5 cup (158g)",White Rice (Cooked), 0.5 cup (158g),103 ,2 ,23 ,0 ,0 ,1 ,0 ,1 
374,4/3/2025,Meal 3,"Goya - Red Kidney, 0.5 cup",Red Kidney Beans, 0.5 cup,280 ,18 ,52 ,0 ,0 ,10 ,2 ,12 
375,4/3/2025,Total,TOTALS,,,"2,307 ",188 ,270 ,60 ,"1,230 ","1,737 ",50 ,36 
376,4/4/2025,Meal 1,"Jif - Peanut Butter, Creamy, 42 g",Peanut Butter, 42 g,242 ,9 ,10 ,20 ,0 ,178 ,4 ,3 
377,4/4/2025,Meal 1,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
378,4/4/2025,Meal 1,"Market Basket - Fat Free Cottage Cheese, 200 gram(s)",Fat Free Cottage Cheese, 200 gram(s),142 ,25 ,11 ,0 ,18 ,726 ,9 ,0 
379,4/4/2025,Meal 1,"Market Basket - Eggs, 4 egg",Eggs, 4 egg,280 ,24 ,4 ,18 ,860 ,260 ,0 ,0 
380,4/4/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
381,4/4/2025,Meal 2,"Goya - Arroz Con Gandules, 0.5 cup",Arroz Con Gandules, 0.5 cup,320 ,8 ,70 ,1 ,"1,280 ","1,280 ",10 ,--
382,4/4/2025,Snacks,"Parlor Doughnuts - Turtle Doughnut, 1 Doughnut",Turtle Doughnut, 1 Doughnut,458 ,9 ,72 ,17 ,21 ,458 ,28 ,38 
383,4/4/2025,Snacks,"Oreos, 3 cookie",Oreos, 3 cookie,153 ,2 ,23 ,6 ,0 ,128 ,13 ,1 
384,4/4/2025,Snacks,"Mandarin, 2 fruit",Mandarin, 2 fruit,90 ,1 ,23 ,1 ,0 ,3 ,18 ,3 
385,4/4/2025,Total,TOTALS,,,"2,209 ",134 ,255 ,83 ,"2,486 ","3,231 ",99 ,49 
386,4/5/2025,Meal 1,"Jif - Peanut Butter, Creamy, 42 g",Peanut Butter, 42 g,242 ,9 ,10 ,20 ,0 ,178 ,4 ,3 
387,4/5/2025,Meal 1,"Market Basket - Eggs, 1 egg",Eggs, 1 egg,70 ,6 ,1 ,5 ,215 ,65 ,0 ,0 
388,4/5/2025,Meal 1,"White bread, toasted, 2 slice",White bread, 2 slice,149 ,5 ,27 ,2 ,0 ,262 ,3 ,1 
389,4/5/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
390,4/5/2025,Meal 2,"Red apple, 1 medium",Red apple, 1 medium,125 ,1 ,30 ,0 ,--,2 ,22 ,5 
391,4/5/2025,Meal 3,"Perú - Chicharrón De Pescado Con Yuca, 1 plato",Chicharrón De Pescado Con Yuca, 1 plato,875 ,35 ,--,--,--,--,--,--
392,4/5/2025,Snacks,"Swan's - Chocolate Moose Cake, 1 piece",Chocolate Moose Cake, 1 piece,430 ,5 ,55 ,23 ,--,--,--,--
393,4/5/2025,Snacks,"Reese's - Miniatures, 8 pieces",Reese's - Miniatures, 8 pieces,352 ,6 ,42 ,21 ,8 ,208 ,38 ,3 
394,4/5/2025,Total,TOTALS,,,"2,646 ",122 ,176 ,91 ,530 ,912 ,67 ,12 
395,4/6/2025,Meal 1,"Generic - Chicken/Rosemary/Parmesan Tortellini, 5 cup cooked",Chicken/Rosemary/Parmesan Tortellini, 5 cup cooked,"1,150 ",75 ,125 ,40 ,275 ,"2,250 ",5 ,5 
396,4/6/2025,Meal 2,"Goya - Red Kidney, 1 cup",Red Kidney Beans, 1 cup,560 ,36 ,104 ,0 ,0 ,20 ,4 ,24 
397,4/6/2025,Meal 2,"Market Basket - Solid White Albacore, Tuna in Water, 2 can drained","Solid White Albacore, Tuna in Water", 2 can drained,260 ,60 ,0 ,2 ,90 ,700 ,--,--
398,4/6/2025,Meal 3,"Market Basket - Eggs, 2 egg",Eggs, 2 egg,140 ,12 ,2 ,9 ,430 ,130 ,0 ,0 
399,4/6/2025,Total,TOTALS,,,"2,110 ",183 ,231 ,51 ,795 ,"3,100 ",9 ,29 
400,4/7/2025,Meal 1,"Jif - Peanut Butter, Creamy, 42 g",Peanut Butter, 42 g,242 ,9 ,10 ,20 ,0 ,178 ,4 ,3 
401,4/7/2025,Meal 1,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
402,4/7/2025,Meal 2,"Goya - Red Kidney, 0.5 cup",Red Kidney Beans, 0.5 cup,280 ,18 ,52 ,0 ,0 ,10 ,2 ,12 
403,4/7/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
404,4/7/2025,Meal 2,"Puerto Rican Style - White, Rice Cooked With (Fat) Oil, Puerto Rican Style (Arroz Blanco, 1 cup cooked = ( 8 oz )",Puerto Rican Style (Arroz Blanco), 1 cup cooked = ( 8 oz ),333 ,5 ,57 ,9 ,0 ,732 ,0 ,1 
405,4/7/2025,Meal 3,"Hellman's - Mayonnaise, 3 tbsp",Mayonnaise, 3 tbsp,270 ,0 ,0 ,30 ,15 ,270 ,0 ,0 
406,4/7/2025,Meal 3,"Lettuce, 2 cup, shredded",Lettuce, 2 cup,10 ,1 ,2 ,0 ,0 ,13 ,1 ,1 
407,4/7/2025,Meal 3,"Red onion, 3 tbsp, chopped",Red onion, 3 tbsp,12 ,0 ,3 ,0 ,0 ,1 ,1 ,1 
408,4/7/2025,Meal 3,"Tomato, 1 medium",Tomato, 1 medium,22 ,1 ,5 ,0 ,0 ,6 ,3 ,1 
409,4/7/2025,Meal 3,"Celery sticks, 2 stick, medium",Celery sticks, 2 stick,11 ,1 ,2 ,0 ,0 ,64 ,1 ,1 
410,4/7/2025,Meal 3,"Market Basket - Solid White Albacore, Tuna in Water, 1 can drained","Solid White Albacore, Tuna in Water", 1 can drained,130 ,30 ,0 ,1 ,45 ,350 ,--,--
411,4/7/2025,Snacks,"Reese's - Miniatures, 6 pieces",Reese's - Miniatures, 6 pieces,264 ,5 ,31 ,16 ,6 ,156 ,29 ,2 
412,4/7/2025,Total,TOTALS,,,"2,098 ",126 ,204 ,96 ,373 ,"1,978 ",58 ,26 
413,4/8/2025,Meal 1,"Jif - Peanut Butter, Creamy, 42 g",Peanut Butter, 42 g,242 ,9 ,10 ,20 ,0 ,178 ,4 ,3 
414,4/8/2025,Meal 1,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
415,4/8/2025,Meal 1,"Market Basket - Eggs, 1 egg",Eggs, 1 egg,70 ,6 ,1 ,5 ,215 ,65 ,0 ,0 
416,4/8/2025,Meal 1,"Fried Beans - Fried Beans, 3 oz",Fried Beans, 3 oz,145 ,6 ,19 ,5 ,--,--,--,--
417,4/8/2025,Meal 1,"White bread, toasted, 2 slice",White bread, 2 slice,149 ,5 ,27 ,2 ,0 ,262 ,3 ,1 
418,4/8/2025,Meal 2,"Breyers - Oreo Birthday Cake Icecream, 4 Cup",Oreo Birthday Cake Icecream, 4 Cup,"1,040 ",16 ,168 ,36 ,40 ,480 ,104 ,0 
419,4/8/2025,Meal 3,"Goya - Red Kidney, 0.5 cup",Red Kidney Beans, 0.5 cup,280 ,18 ,52 ,0 ,0 ,10 ,2 ,12 
420,4/8/2025,Meal 3,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
421,4/8/2025,Meal 3,"Puerto Rican Style - White, Rice Cooked With (Fat) Oil, Puerto Rican Style (Arroz Blanco, 1 cup cooked = ( 8 oz )",Puerto Rican Style (Arroz Blanco), 1 cup cooked = ( 8 oz ),333 ,5 ,57 ,9 ,0 ,732 ,0 ,1 
422,4/8/2025,Total,TOTALS,,,"2,783 ",121 ,376 ,97 ,562 ,"1,925 ",130 ,21 
423,4/9/2025,Meal 1,"Homemade - Fried Banana, 1.5 medium banana",Fried Banana, 1.5 medium banana,158 ,2 ,41 ,1 ,--,2 ,21 ,5 
424,4/9/2025,Meal 1,"Homemade - Chicharron, 8.25 oz",Chicharron, 8.25 oz,660 ,74 ,0 ,41 ,619 ,50 ,--,--
425,4/9/2025,Meal 2,"Homemade - Chicharron, 8.25 oz",Chicharron, 8.25 oz,660 ,74 ,0 ,41 ,619 ,50 ,--,--
426,4/9/2025,Meal 2,"Mashed Potatoes, 1 cup",Mashed Potatoes, 1 cup,237 ,4 ,36 ,9 ,2 ,699 ,3 ,3 
427,4/9/2025,Meal 2,"White Jasmine Rice (Cooked - White Rice (Cooked), 1 cup (158g)",White Rice (Cooked), 1 cup (158g),205 ,4 ,45 ,0 ,0 ,2 ,0 ,1 
428,4/9/2025,Meal 2,"Chicken Thighs - 2 Thighs, 4 oz",Chicken Thighs, 4 oz,201 ,27 ,5 ,10 ,153 ,99 ,0 ,0 
429,4/9/2025,Meal 3,"Hellman's - Mayonnaise, 3 tbsp",Mayonnaise, 3 tbsp,270 ,0 ,0 ,30 ,15 ,270 ,0 ,0 
430,4/9/2025,Meal 3,"Lettuce, 2 cup, shredded",Lettuce, 2 cup,10 ,1 ,2 ,0 ,0 ,13 ,1 ,1 
431,4/9/2025,Meal 3,"Red onion, 3 tbsp, chopped",Red onion, 3 tbsp,12 ,0 ,3 ,0 ,0 ,1 ,1 ,1 
432,4/9/2025,Meal 3,"Tomato, 1 medium",Tomato, 1 medium,22 ,1 ,5 ,0 ,0 ,6 ,3 ,1 
433,4/9/2025,Meal 3,"Celery sticks, 2 stick, medium",Celery sticks, 2 stick,11 ,1 ,2 ,0 ,0 ,64 ,1 ,1 
434,4/9/2025,Meal 3,"Market Basket - Solid White Albacore, Tuna in Water, 1 can drained","Solid White Albacore, Tuna in Water", 1 can drained,130 ,30 ,0 ,1 ,45 ,350 ,--,--
435,4/9/2025,Total,TOTALS,,,"2,576 ",218 ,139 ,133 ,"1,453 ","1,606 ",30 ,13 
436,4/10/2025,Meal 1,"Strawberry, 1 cup, halves",Strawberry, 1 cup,49 ,1 ,12 ,0 ,0 ,2 ,7 ,3 
437,4/10/2025,Meal 1,"Blueberries, 1 cup",Blueberries, 1 cup,42 ,1 ,11 ,0 ,0 ,1 ,7 ,2 
438,4/10/2025,Meal 1,"Almond Breeze - Almond Breeze, Almond Milk, Vanilla, 1 cup","Almond Milk, Vanilla", 1 cup,80 ,1 ,14 ,3 ,0 ,150 ,13 ,1 
439,4/10/2025,Meal 1,"Market Basket - Fat Free Cottage Cheese, 200 gram(s)",Fat Free Cottage Cheese, 200 gram(s),142 ,25 ,11 ,0 ,18 ,726 ,9 ,0 
440,4/10/2025,Meal 1,"Market Basket - Eggs, 4 egg",Eggs, 4 egg,280 ,24 ,4 ,18 ,860 ,260 ,0 ,0 
441,4/10/2025,Meal 2,"Chicken Thighs - 2 Thighs, 3 oz",Chicken Thighs, 3 oz,151 ,21 ,4 ,8 ,115 ,74 ,0 ,0 
442,4/10/2025,Meal 2,"Guerreo - Burrito Tortilla, 1 tortilla",Burrito Tortilla, 1 tortilla,130 ,2 ,15 ,3 ,0 ,240 ,0 ,1 
443,4/10/2025,Meal 2,"Hellman's - Mayonnaise, 3 tbsp",Mayonnaise, 3 tbsp,270 ,0 ,0 ,30 ,15 ,270 ,0 ,0 
444,4/10/2025,Meal 2,"Lettuce, 2 cup, shredded",Lettuce, 2 cup,10 ,1 ,2 ,0 ,0 ,13 ,1 ,1 
445,4/10/2025,Meal 2,"Red onion, 3 tbsp, chopped",Red onion, 3 tbsp,12 ,0 ,3 ,0 ,0 ,1 ,1 ,1 
446,4/10/2025,Meal 2,"Tomato, 1 medium",Tomato, 1 medium,22 ,1 ,5 ,0 ,0 ,6 ,3 ,1 
447,4/10/2025,Meal 2,"Celery sticks, 2 stick, medium",Celery sticks, 2 stick,11 ,1 ,2 ,0 ,0 ,64 ,1 ,1 
448,4/10/2025,Meal 3,"Chicken Thighs - 2 Thighs, 6 oz",Chicken Thighs, 6 oz,302 ,41 ,8 ,15 ,230 ,148 ,0 ,0 
449,4/10/2025,Meal 3,"Market Basket - Solid White Albacore, Tuna in Water, 1 can drained","Solid White Albacore, Tuna in Water", 1 can drained,130 ,30 ,0 ,1 ,45 ,350 ,--,--
450,4/10/2025,Meal 3,"Hellman's - Mayonnaise, 3 tbsp",Mayonnaise, 3 tbsp,270 ,0 ,0 ,30 ,15 ,270 ,0 ,0 
451,4/10/2025,Meal 3,"Lettuce, 2 cup, shredded",Lettuce, 2 cup,10 ,1 ,2 ,0 ,0 ,13 ,1 ,1 
452,4/10/2025,Meal 3,"Red onion, 3 tbsp, chopped",Red onion, 3 tbsp,12 ,0 ,3 ,0 ,0 ,1 ,1 ,1 
453,4/10/2025,Meal 3,"Tomato, 1 medium",Tomato, 1 medium,22 ,1 ,5 ,0 ,0 ,6 ,3 ,1 
454,4/10/2025,Meal 3,"Celery sticks, 2 stick, medium",Celery sticks, 2 stick,11 ,1 ,2 ,0 ,0 ,64 ,1 ,1 
455,4/10/2025,Snacks,Snacks,,,,,,,,,,
456,4/10/2025,Snacks,"Food Should Taste Good - Tortilla Chips, Sweet Potato, 2 pouch","Tortilla Chips, Sweet Potato", 2 pouch,440 ,4 ,56 ,22 ,0 ,240 ,8 ,6 
457,4/10/2025,Total,TOTALS,,,"2,396 ",156 ,159 ,130 ,"1,298 ","2,899 ",56 ,21 
458,4/11/2025,Meal 1,"Jif - Peanut Butter, Creamy, 42 g",Peanut Butter, 42 g,242 ,9 ,10 ,20 ,0 ,178 ,4 ,3 
459,4/11/2025,Meal 1,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
460,4/11/2025,Meal 2,"Broccoli - Broccoli Steamed, 2 cup",Broccoli Steamed, 2 cup,62 ,5 ,12 ,1 ,0 ,60 ,3 ,5 
461,4/11/2025,Meal 2,"Carrots, 2 cup",Carrots, 2 cup,98 ,2 ,23 ,1 ,0 ,166 ,11 ,7 
462,4/11/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
463,4/11/2025,Meal 3,"Beachbody Chicken and Mushroom Pasta - Beachbody Chicken and Mushroom Pasta, 3 serving",Beachbody Chicken and Mushroom Pasta, 3 serving,939 ,81 ,78 ,30 ,162 ,384 ,12 ,15 
464,4/11/2025,Meal 3,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
465,4/11/2025,Snacks,Snacks,,,,,,,,,,
466,4/11/2025,Snacks,"Downeast - Downeast Original Blend Cider, 24 fl oz",Downeast Original Blend Cider, 24 fl oz,364 ,0 ,40 ,0 ,0 ,0 ,34 ,0 
467,4/11/2025,Snacks,"Oreos, 4 cookie",Oreos, 4 cookie,204 ,2 ,31 ,8 ,0 ,171 ,18 ,1 
468,4/11/2025,Total,TOTALS,,,"2,836 ",210 ,247 ,100 ,776 ,"1,354 ",99 ,35 
469,4/12/2025,Meal 1,"Denny's garlic bread - Garlic Bread, 4 slices",Garlic Bread, 4 slices,340 ,8 ,42 ,18 ,0 ,700 ,0 ,2 
470,4/12/2025,Meal 1,"Beachbody Chicken and Mushroom Pasta - Beachbody Chicken and Mushroom Pasta, 2 serving",Beachbody Chicken and Mushroom Pasta, 2 serving,626 ,54 ,52 ,20 ,108 ,256 ,8 ,10 
471,4/12/2025,Meal 1,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
472,4/12/2025,Meal 2,"Tescos Meatballs - Meatballs, 4 balls",Meatballs, 4 balls,240 ,20 ,3 ,16 ,0 ,1 ,1 ,0 
473,4/12/2025,Meal 2,"Cooked Pasta, 1 cup",Cooked Pasta, 1 cup,220 ,8 ,43 ,1 ,0 ,325 ,1 ,3 
474,4/12/2025,Meal 2,"Mixed salad greens, 4 cup",Mixed salad greens, 4 cup,24 ,2 ,4 ,0 ,0 ,62 ,1 ,2 
475,4/12/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
476,4/12/2025,Meal 3,"Lemon cake, 2 slice",Lemon cake, 2 slice,"1,187 ",8 ,182 ,47 ,151 ,"1,064 ",134 ,1 
477,4/12/2025,Snacks,Snacks,,,,,,,,,,
478,4/12/2025,Snacks,"Miller Lite - Miller Lite Beer, 36 fl oz",Miller Lite Beer, 36 fl oz,288 ,3 ,10 ,0 ,0 ,0 ,0 ,0 
479,4/12/2025,Snacks,"High Noon - Peach Vodka & Soda, 12 oz",Peach Vodka & Soda, 12 oz,100 ,0 ,2 ,0 ,--,--,2 ,--
480,4/12/2025,Snacks,"Medalla - Medalla Premium Light Beer, 24 fl oz",Medalla Premium Light Beer, 24 fl oz,196 ,2 ,6 ,0 ,--,--,--,--
481,4/12/2025,Snacks,"Marshmallows, 2 large, regular",Marshmallows, 2 large,51 ,0 ,13 ,0 ,0 ,13 ,9 ,0 
482,4/12/2025,Total,TOTALS,,,"4,078 ",215 ,379 ,142 ,873 ,"2,815 ",156 ,18 
483,4/13/2025,Meal 2,"Brahma - Duplo malte, 350 ml",Brahma Duplo malte, 350 ml,144 ,0 ,12 ,0 ,0 ,0 ,12 ,0 
484,4/13/2025,Meal 2,"Yuca fries, 1 cup",Yuca fries, 1 cup,377 ,2 ,49 ,20 ,0 ,216 ,2 ,2 
485,4/13/2025,Meal 2,"Carrots, 1 cup",Carrots, 1 cup,49 ,1 ,11 ,0 ,0 ,83 ,6 ,3 
486,4/13/2025,Meal 2,"Beets - Cooked, boiled, drained, 1 cup slices",Beets - Cooked, 1 cup slices,75 ,3 ,17 ,0 ,0 ,131 ,14 ,3 
487,4/13/2025,Meal 2,"Carnes - Picanha, 10 ounce",Picanha, 10 ounce,709 ,57 ,0 ,43 ,0 ,0 ,0 ,0 
488,4/13/2025,Meal 3,"Chinese Food - Boneless Spare Ribs With Fried Rice, 1.5 cup cooked",Boneless Spare Ribs With Fried Rice, 1.5 cup cooked,345 ,10 ,65 ,5 ,48 ,833 ,1 ,2 
489,4/13/2025,Meal 3,"Food Should Taste Good - Tortilla Chips, Sweet Potato, 1 pouch","Tortilla Chips, Sweet Potato", 1 pouch,220 ,2 ,28 ,11 ,0 ,120 ,4 ,3 
490,4/13/2025,Meal 3,"Denny's garlic bread - Garlic Bread, 2 slices",Garlic Bread, 2 slices,170 ,4 ,21 ,9 ,0 ,350 ,0 ,1 
491,4/13/2025,Meal 3,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
492,4/13/2025,Total,TOTALS,,,"2,492 ",134 ,214 ,108 ,355 ,"1,930 ",39 ,14 
493,4/14/2025,Meal 1,"Jif - Peanut Butter, Creamy, 42 g",Peanut Butter, 42 g,242 ,9 ,10 ,20 ,0 ,178 ,4 ,3 
494,4/14/2025,Meal 1,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
495,4/14/2025,Meal 2,"Chinese Food - Boneless Spare Ribs With Fried Rice, 1.5 cup cooked",Boneless Spare Ribs With Fried Rice, 1.5 cup cooked,345 ,10 ,65 ,5 ,48 ,833 ,1 ,2 
496,4/14/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
497,4/14/2025,Meal 3,"Chinese Food - Boneless Spare Ribs With Fried Rice, 1.5 cup cooked",Boneless Spare Ribs With Fried Rice, 1.5 cup cooked,345 ,10 ,65 ,5 ,48 ,833 ,1 ,2 
498,4/14/2025,Meal 3,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
500,4/14/2025,Snacks,"Got Milk - Cookies & Cream Wafer Rolls, 1 stick",Cookies & Cream Wafer Rolls, 1 stick,78 ,1 ,11 ,3 ,0 ,9 ,8 ,0 
501,4/14/2025,Total,TOTALS,,,"1,937 ",141 ,204 ,73 ,710 ,"2,248 ",31 ,11 
502,4/15/2025,Meal 1,"Market Basket - Eggs, 4 egg",Eggs, 4 egg,280 ,24 ,4 ,18 ,860 ,260 ,0 ,0 
503,4/15/2025,Meal 1,"Jif - Peanut Butter, Creamy, 42 g",Peanut Butter, 42 g,242 ,9 ,10 ,20 ,0 ,178 ,4 ,3 
504,4/15/2025,Meal 1,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
505,4/15/2025,Meal 2,"World's Finest - Chocolate Bar, 1.2 bar",Chocolate Bar, 1.2 bar,276 ,4 ,30 ,16 ,12 ,42 ,29 ,1 
506,4/15/2025,Meal 2,"Pepperoni Pizza, 2 slice",Pepperoni Pizza, 2 slice,626 ,26 ,71 ,26 ,56 ,"1,521 ",7 ,5 
507,4/15/2025,Meal 3,"Chicken Thighs - 2 Thighs, 12 oz",Chicken Thighs, 12 oz,604 ,82 ,16 ,30 ,460 ,296 ,0 ,0 
508,4/15/2025,Meal 3,"Birds Eye - Broccoli Florets, 306 g",Broccoli Florets, 306 g,111 ,4 ,15 ,0 ,0 ,74 ,7 ,7 
510,4/15/2025,Snacks,"Food Should Taste Good - Tortilla Chips, Sweet Potato, 1 pouch","Tortilla Chips, Sweet Potato", 1 pouch,220 ,2 ,28 ,11 ,0 ,120 ,4 ,3 
